id,title,is_paid,num_subscribers,avg_rating,avg_rating_recent,rating,num_reviews,is_wishlisted,tags
2103468,Lean Six Sigma White Belt for Service Industry Professionals,True,2515,4.2,3.88628,3.88628,51,False,"lean, sigma, white, belt, service, industry, professionals"
2087662,Consolidated Financial Statements A Complete Study,True,241,3.65,3.68891,3.68891,51,False,"consolidated, financial, statements, complete, study"
2023746,Complete Forex Trading- At Price Action Tricks and Tips,True,5653,3.75,3.69747,3.69747,51,False,"complete, forex, price, action, tricks, tips"
3169838,Quality System Problem Solving 7x,True,5314,4.12745,4.17253,4.17253,51,False,"quality, system, problem, solving, 7x"
773366,Learn Basecamp 3 - Project Management Software,True,1009,4.0,4.08929,4.08929,51,False,"learn, basecamp, 3, project, management, software"
1296782,How To Build A Business On Fiverr By Selling Simple Services,True,3124,4.15,4.40987,4.40987,51,False,"build, business, fiverr, selling, simple, services"
1783776,The Business Writing Course,True,253,4.5,4.5206,4.5206,51,False,"business, writing, course"
1617258,How to Confront Difficult Employees,True,256,4.6,4.62257,4.62257,51,False,"confront, difficult, employees"
36305,eBook Creation Tutorial The Art Of Successful Publishing,True,5973,4.3,4.32609,4.32609,51,False,"ebook, creation, tutorial, art, successful, publishing"
2066199,Learn Tableau step by step for beginners.,True,3154,4.1,4.08735,4.08735,51,False,"learn, tableau, step, step, beginners"
2506718,Practice Business Architecture Skills with Tested Techniques,True,207,4.55,4.64334,4.64334,51,False,"practice, business, architecture, skills, tested, techniques"
2029332,Strategic project management,True,3172,3.2,3.04503,3.04503,51,False,"strategic, project, management"
2049693,Understanding ISO 14001:2015,True,131,4.21875,4.17614,4.17614,51,False,"understanding, iso"
1125796,Rehab Construction for Real Estate Investing,True,345,3.95,4.00365,4.00365,51,False,"rehab, construction, real, estate, investing"
1555070,"How to Create, Market, and Grow an Inspired Business",True,452,4.15,4.1746,4.1746,51,False,"create, market, grow, inspired, business"
1706454,How to manufacture products in China,True,375,4.5,4.4685,4.4685,51,False,"manufacture, products, china"
1240408,"Forex Trading Mastery: Stop Losing, Start Winning  Vol.1",True,1391,4.35,4.29687,4.29687,50,False,"forex, trading, mastery, stop, losing, start, winning"
1344282,​Blockchain & Cryptocurrency Masterclass,True,256,4.45,4.54555,4.54555,50,False,"cryptocurrency, masterclass"
23918,Deliver Value: A Cash Source Crash Course,True,436,3.65,3.41833,3.41833,50,False,"deliver, value, cash, source, crash, course"
638678,Launch a Subscription Business,True,3602,3.5,3.13043,3.13043,50,False,"launch, subscription, business"
1079040,Leaps Options Trading System - Diagonal Leaps Options Spread,True,1269,4.35,4.3218,4.3218,50,False,"leaps, options, trading, system, diagonal, leaps, options, spread"
1920790,Goal Setting & Achievement: Achieve Your Goals 10x Faster,True,5537,4.6,4.67344,4.67344,50,False,"goal, setting, achievement, achieve, goals, 10x, faster"
2452232,Business Development & Sales Mastery For B2B Businesses,True,3675,4.05,4.00975,4.00975,50,False,"business, development, sales, mastery, b2b, businesses"
2891536,Project Initiation and Planning (PMI-PMP),True,6886,4.34884,4.47965,4.47965,50,False,"project, initiation, planning, pmi, pmp"
2649630,Pitch mastery: master the sales presentation,True,1575,4.45,4.12383,4.12383,50,False,"pitch, mastery, master, sales, presentation"
102676,Working the Crowd: Know the Fundamentals,True,315,4.25,4.24982,4.24982,50,False,"working, crowd, know, fundamentals"
42040,Buying Call and Put Options - Options beginner strategies,True,449,4.65,4.69244,4.69244,50,False,"buying, options, options, beginner, strategies"
382458,The Amazon Sales Formula ~ Build A Private Label Business,True,1012,4.65,4.59632,4.59632,50,False,"amazon, sales, formula, build, private, label, business"
362518,Remote Speaking - Pro Speaking Skills in The Coronavirus Era,True,8727,4.05,4.32978,4.32978,50,False,"remote, speaking, pro, speaking, skills, coronavirus, era"
153846,The 2020 Complete Masterclass On Writing A Business Plan,True,1298,4.4,4.34465,4.34465,50,False,"2020, complete, masterclass, writing, business, plan"
1245132,Investigating Corporate Inappropriate Behavior Complaints,True,203,4.1,4.26405,4.26405,50,False,"investigating, corporate, inappropriate, behavior, complaints"
1344870,Premium Cryptocurrency Course: Become the Whale! Part 1,True,279,3.95,3.96166,3.96166,50,False,"premium, cryptocurrency, course, whale, 1"
1712534,CONTRACT LAW: Business Obligations,True,1019,4.35,4.31869,4.31869,50,False,"contract, law, business, obligations"
2154750,"Financial Analysis, Term Loan Appraisal & Working Capital",True,653,4.26923,4.34448,4.34448,50,False,"financial, analysis, term, loan, appraisal, working, capital"
2137352,New Home Construction - 4 of 8,True,337,4.75,4.74318,4.74318,51,False,"new, home, construction, 4, 8"
1360676,Make Money With Animation And Design,True,314,4.7,4.67915,4.67915,50,False,"money, animation, design"
2868768,Cost Reduction for Managers & Management Consultants,True,1520,4.5,4.3373,4.3373,52,False,"cost, reduction, managers, management, consultants"
939884,Why Invest in Stocks? Buy LEAPS Options - It's  Much Cheaper,True,712,3.9,3.76453,3.76453,50,False,"invest, stocks, buy, leaps, options, cheaper"
27781,How to Pitch for Success and Improve Your Influence,True,5524,4.25,4.06984,4.06984,50,False,"pitch, success, improve, influence"
628540,YOUTUBE 2020 - Rank Multiple Keyword Multiple Video 1st Page,True,1919,4.35,4.311,4.311,50,False,"youtube, 2020, rank, multiple, keyword, multiple, video, 1st, page"
1235070,PMI-ACP Certification: Managing Stakeholder Engagement,True,7955,4.17857,3.85052,3.85052,50,False,"pmi, acp, certification, managing, stakeholder, engagement"
471588,INVESTING or TRADING SUCCESS-Secrets of a Hedge Fund Manager,True,907,4.2,4.40906,4.40906,50,False,"investing, trading, success, secrets, hedge, fund, manager"
1103272,Penny Stock King: How to Remove Risk from Penny Stocks!,True,2553,3.6,3.50768,3.50768,50,False,"penny, stock, king, remove, risk, penny, stocks"
1459408,Grow Your Business Using Net Promoter Score®,True,3153,3.7,3.85131,3.85131,50,False,"grow, business, net, promoter, score"
3060940,The Complete Introduction to SQL for Data Analytics,True,6406,3.73077,3.97837,3.97837,50,False,"complete, introduction, sql, data, analytics"
354296,Project Management: The Planning Phase,True,1198,4.55,4.58408,4.58408,50,False,"project, management, planning, phase"
363578,Kindle Secrets #1: Kindle Launch to Kindle Best Seller,True,2011,4.15,4.18971,4.18971,50,False,"kindle, secrets, 1, kindle, launch, kindle, best, seller"
555764,Keynote Presentations For Beginners | 2020,True,2481,3.9,4.01325,4.01325,50,False,"keynote, presentations, beginners, 2020"
1325726,Introduction to Cryptocurrency/Altcoin mining,True,271,3.7,3.73831,3.73831,50,False,"introduction, cryptocurrency, altcoin, mining"
1294000,PMI-ACP Certification: Value and Quality in Agile Projects,True,8255,4.45,4.46266,4.46266,50,False,"pmi, acp, certification, value, quality, agile, projects"
2267526,Sales foundation: sales skills & sales hacks (FASTLANE),True,3764,4.3,4.27386,4.27386,50,False,"sales, foundation, sales, skills, sales, hacks, fastlane"
1855058,Open a Non-Medical Home Care Agency - Home Based Business,True,245,4.75,4.8681,4.8681,50,False,"open, non, medical, home, care, agency, home, based, business"
1324172,Tableau 10 Industry Secrets:  Top Dashboard Tables,True,307,4.2,4.14531,4.14531,50,False,"tableau, 10, industry, secrets, dashboard, tables"
224588,Administer a Construction Contract,True,357,3.8,3.79179,3.79179,50,False,"administer, construction, contract"
861764,"""Geometry Of Chance"" - strategy of defeating roulette",True,125,3.7,3.62945,3.62945,50,False,"geometry, chance, strategy, defeating, roulette"
1151188,Value Stream Mapping,True,108,3.5,3.51488,3.51488,50,False,"value, stream, mapping"
681782,Accounting Decoded,True,3362,4.4,4.25327,4.25327,50,False,"accounting, decoded"
2599818,Close Deals In Your Pyjamas: The B2B Cold Email Masterclass,True,4334,4.2,4.02004,4.02004,50,False,"close, deals, pyjamas, b2b, cold, email, masterclass"
2243318,Financial Market Expert,True,2005,4.15,4.03311,4.03311,50,False,"financial, market, expert"
473154,Learn How to Get 501c3 Tax Exempt Online,True,378,4.85,4.83617,4.83617,50,False,"learn, 501c3, tax, exempt, online"
1210978,How to Open a Successful Restaurant-The Step by Step Method,True,2300,4.75,4.76447,4.76447,50,False,"open, successful, restaurant, step, step, method"
1319382,Sarbanes-Oxley (SOX) Testing,True,176,4.0,3.95192,3.95192,50,False,"sarbanes, oxley, sox, testing"
1793096,Mobile App Business Ideas & Hiring / Outsourcing Engineers,True,3031,4.6,4.65591,4.65591,50,False,"mobile, app, business, ideas, hiring, outsourcing, engineers"
360658,Data Presentation for Business: How to make great charts,True,5799,3.75,3.47668,3.47668,50,False,"data, presentation, business, great, charts"
420552,Cloud Adoption Essentials: learn the 8 step roadmap,True,236,4.45,4.47415,4.47415,50,False,"cloud, adoption, essentials, learn, 8, step, roadmap"
2284943,IBM Watson for Artificial Intelligence & Cognitive Computing,True,321,3.68182,3.70453,3.70453,50,False,"ibm, watson, artificial, intelligence, cognitive, computing"
1292008,Halal Training Course,True,84,4.1,4.08571,4.08571,50,False,"halal, training, course"
